#projection.x	projection.y	projection.z	knotoid_type	polynomial	PD_code
0.716743969	-0.272385015	0.64193807	6_100s|6_100m	 + A^(-8) - A^(-6) - 3*A^(-4) + 5 + 3*A^(2) - 2*A^(4) - 3*A^(6) + A^(10)	PD[X[0,15,1,14],X[9,4,10,3],X[4,11,5,10],X[5,7,6,8],X[17,6,18,7],X[2,9,3,8],X[12,1,13,2],X[13,15,14,16],X[11,16,12,17]];
-0.146667637	0.105363794	-0.983558374	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0576130522	0.326872718	0.943310639	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.304951805	-0.942944825	-0.133639268	0_1	 + 1	PD[];
0.306439646	-0.364552853	-0.879315621	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.126626351	0.390152331	-0.912001604	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0829084237	0.931738506	-0.353538612	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[10,1,11,0],X[1,8,2,7],X[6,3,7,2],X[11,3,12,4],X[9,5,10,4],X[5,9,6,8]];
-0.267506671	0.961658359	-0.0604432123	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.130809649	-0.0519257876	0.990046741	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.172730823	0.626609844	-0.759950107	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0445824897	0.990164963	-0.132611265	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[10,1,11,0],X[1,5,2,4],X[2,9,3,8],X[7,4,8,3],X[5,10,6,9],X[6,11,7,12]];
0.0277033733	0.583191736	-0.81186201	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.371124455	-0.0902160189	-0.924190299	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.0319606671	-0.588823486	0.807629506	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.779689474	0.156723314	0.606236032	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5],X[8,6,9,7],X[7,9,8,10]];
0.32628016	-0.928291455	-0.178371054	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.571251848	-0.0582930332	0.818702173	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.191445626	-0.979857674	-0.0568111925	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
-0.760825614	0.615987398	-0.204215352	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[12,1,13,0],X[7,11,8,10],X[1,12,2,11],X[9,4,10,3],X[13,5,14,6],X[4,6,5,7],X[2,9,3,8]];
0.181824661	0.983306131	0.00698890118	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.598106192	-0.515753743	-0.613406112	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.619199878	-0.7754692	0.123446471	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.163210886	-0.765013565	0.622989929	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.860339605	0.508300195	0.0380351832	UNKNOWN	 - A^(-14) - A^(-12) + 2*A^(-10) + 3*A^(-8) - A^(-6) - 5*A^(-4) - A^(-2) + 5 + 3*A^(2) - A^(4) - 2*A^(6)	PD[X[5,7,6,8],X[0,14,1,15],X[1,11,2,10],X[12,4,13,3],X[17,6,18,7],X[13,16,14,15],X[16,4,17,5],X[8,12,9,11],X[9,3,10,2]];
0.029326587	0.156822944	0.987191225	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.627241406	-0.0535476788	0.776981895	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.526381656	-0.674895786	-0.51714411	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.528825624	-0.778048975	-0.339091805	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[2,5,3,4],X[5,2,6,1]];
0.464351008	-0.763677844	-0.448524572	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.916405363	0.245009879	-0.31649861	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[10,0,11,1],X[8,1,9,2],X[5,3,6,2],X[3,7,4,6],X[7,5,8,4],X[9,11,10,12]];
0.784346574	-0.456058427	0.420489195	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[0,6,1,7],X[9,3,10,2],X[3,9,4,8],X[4,2,5,1],X[7,5,8,6]];
0.267099069	0.893326803	0.361421236	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2],X[7,9,8,10],X[8,6,9,7]];
-0.207136646	-0.714316166	-0.668466024	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[2,1,3,0],X[1,4,2,3],X[4,6,5,7],X[7,5,8,6]];
-0.628925098	0.607663888	0.484971978	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1],X[6,5,7,4],X[7,5,8,6]];
0.227976719	0.392748113	-0.890940815	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.335540682	-0.94042906	0.0548236654	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,11,1,10],X[7,2,8,1],X[2,7,3,6],X[3,11,4,12],X[4,10,5,9],X[8,6,9,5]];
0.460725984	0.698413007	0.547677679	2_1*4_3s|2_1ms*4_3s|2_1*4_3m|2_1ms*4_3m	 - A^(-12) - 2*A^(-10) + 3*A^(-6) + 3*A^(-4) - 1 - A^(2)	PD[X[2,10,3,9],X[12,10,13,11],X[8,4,9,3],X[0,7,1,6],X[7,6,8,5],X[1,5,2,4],X[11,13,12,14]];
-0.69525999	0.717295535	0.0458329725	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[0,4,1,3],X[7,3,8,2],X[1,9,2,8],X[6,4,7,5],X[5,9,6,10]];
0.215687765	-0.969559611	-0.115900599	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[5,2,6,1],X[2,5,3,4]];
0.138825629	0.349208942	0.926704138	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.899817415	0.414293037	0.136711007	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.967552654	0.0484888302	-0.247973175	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[0,9,1,8],X[5,2,6,1],X[2,7,3,6],X[7,4,8,3],X[9,4,10,5]];
0.390113348	-0.49450232	0.776710391	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
-0.37611672	0.136218164	-0.916504678	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.176971989	0.211621158	0.961195818	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.272602281	-0.668703744	0.691753785	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.802159162	0.0735236707	0.592566409	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[0,5,1,6],X[1,10,2,9],X[7,4,8,3],X[8,12,9,11],X[4,7,5,6],X[10,3,11,2]];
0.999516714	0.0264129743	-0.0163918813	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[6,5,7,4],X[7,5,8,6],X[1,4,2,3]];
0.771947219	0.514158799	0.373815757	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,6,1,5],X[4,2,5,1],X[7,3,8,2],X[3,7,4,6]];
0.623737469	-0.582052594	-0.521695647	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3],X[4,7,5,6],X[5,7,6,8]];
0.977214161	0.13757939	0.161630426	4_6s|4_6m	 - A^(-22) + A^(-18) - A^(-14) + A^(-10) + A^(-8)	PD[X[8,6,9,5],X[6,3,7,2],X[9,2,10,1],X[3,8,4,7],X[0,5,1,4]];
0.607943324	0.786127248	-0.111395083	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[0,8,1,7],X[6,2,7,1],X[2,4,3,5],X[9,3,10,4],X[5,9,6,8]];
0.922335897	-0.377474277	-0.0825206828	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.335305692	0.544689851	0.768689182	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[0,3,1,2],X[3,2,4,1],X[6,4,7,5],X[5,7,6,8]];
-0.565697052	-0.598141166	0.567638962	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.606379363	0.0264982085	0.794733863	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.718534349	0.665145989	0.203197449	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[0,12,1,13],X[11,1,12,2],X[7,5,8,4],X[5,9,6,8],X[9,3,10,2],X[3,7,4,6],X[10,13,11,14]];
0.797057562	-0.55555265	-0.236770978	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.424819998	-0.898090343	-0.113849482	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.189569452	-0.719788987	0.667807784	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.743440314	-0.442061981	0.501874192	UNKNOWN	 - A^(-6) - 2*A^(-4) + A^(-2) + 5 + 3*A^(2) - 3*A^(4) - 5*A^(6) + 4*A^(10) + 2*A^(12) - 2*A^(14) - 2*A^(16) + A^(20)	PD[X[16,6,17,5],X[12,18,13,19],X[8,3,9,2],X[1,11,2,12],X[15,21,16,22],X[20,6,21,7],X[17,13,18,14],X[0,20,1,19],X[14,4,15,5],X[10,8,11,7],X[3,10,4,9]];
-0.124845765	-0.0775531288	0.98914056	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.329637045	0.59166522	0.735711687	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.908393882	-0.249809443	-0.335284653	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.499966616	0.506820734	-0.702257878	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.247356751	-0.0110761431	0.968861165	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.0173199077	-0.960123926	-0.279037753	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[3,1,4,0],X[2,5,3,4],X[6,8,7,9],X[9,7,10,8],X[5,2,6,1]];
0.726410535	0.589260941	-0.353693763	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.581105366	-0.796343404	0.167790752	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[7,1,8,0],X[1,7,2,6],X[4,2,5,3],X[3,9,4,10],X[8,6,9,5]];
0.472297089	-0.715428354	0.514876422	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[4,1,5,0],X[1,4,2,3],X[5,3,6,2]];
0.13252505	-0.844081682	-0.519579854	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[2,1,3,0],X[1,4,2,3],X[4,6,5,7],X[7,5,8,6]];
-0.806404565	0.398184886	-0.437219024	UNKNOWN	 - A^(-6) - 2*A^(-4) + A^(-2) + 5 + 3*A^(2) - 3*A^(4) - 5*A^(6) + 4*A^(10) + 2*A^(12) - 2*A^(14) - 2*A^(16) + A^(20)	PD[X[22,12,23,13],X[2,16,3,17],X[3,7,4,6],X[4,11,5,10],X[9,6,10,5],X[15,19,16,20],X[13,19,14,18],X[20,2,21,1],X[14,0,15,1],X[21,17,22,18],X[7,23,8,24],X[8,12,9,11]];
-0.923957661	0.221472671	0.311852685	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.392823242	0.233172487	-0.889561967	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.95858201	0.204905368	-0.197823963	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[3,1,4,0],X[8,6,9,7],X[5,3,6,2],X[1,5,2,4],X[7,9,8,10]];
0.208562056	0.274780367	0.938614734	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.310751549	-0.925356435	-0.217138072	0_1	 + 1	PD[X[2,1,3,0],X[3,1,4,2]];
-0.517255976	-0.635323603	-0.573419719	2_1*4_3s|2_1ms*4_3s|2_1*4_3m|2_1ms*4_3m	 - A^(-12) - 2*A^(-10) + 3*A^(-6) + 3*A^(-4) - 1 - A^(2)	PD[X[5,1,6,0],X[7,2,8,1],X[9,3,10,2],X[3,9,4,8],X[4,7,5,6],X[10,12,11,13],X[13,11,14,12]];
-0.13640064	-0.0686897179	0.988269492	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.336719268	-0.940555241	0.0444519147	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,13,1,12],X[9,2,10,1],X[2,9,3,8],X[3,13,4,14],X[4,7,5,8],X[5,11,6,10],X[11,7,12,6]];
-0.0255429491	-0.614420543	0.788565124	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.473151656	0.260460889	-0.841598263	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3],X[6,5,7,4],X[7,5,8,6]];
0.224595704	-0.614426934	0.756330822	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.978181976	0.140970498	0.152601903	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[8,1,9,0],X[1,6,2,5],X[6,3,7,2],X[3,8,4,7],X[4,9,5,10]];
0.720256851	0.693682321	0.00590816513	4_7|4_7ms	 - A^(-4) + 2 + A^(2) - A^(6)	PD[X[0,8,1,7],X[6,2,7,1],X[2,4,3,5],X[9,3,10,4],X[5,9,6,8]];
-0.306466638	-0.913101892	-0.268929608	2_1*4_3s|2_1ms*4_3s|2_1*4_3m|2_1ms*4_3m	 - A^(-12) - 2*A^(-10) + 3*A^(-6) + 3*A^(-4) - 1 - A^(2)	PD[X[5,1,6,0],X[1,7,2,6],X[4,3,5,2],X[3,8,4,7],X[11,9,12,10],X[8,10,9,11]];
0.98093075	0.115609968	-0.156234435	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[0,9,1,8],X[5,2,6,1],X[2,7,3,6],X[7,4,8,3],X[9,4,10,5]];
-0.893193846	0.434378699	0.116275099	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.911378052	0.408427315	0.0507658808	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[2,6,3,5],X[4,2,5,1]];
0.778029845	0.625192821	0.0616724896	UNKNOWN	 - A^(-8) - A^(-6) + A^(-4) + 3*A^(-2) + 1 - 3*A^(2) - A^(4) + 2*A^(6) + 2*A^(8) - A^(10) - A^(12)	PD[X[0,13,1,14],X[1,11,2,10],X[9,3,10,2],X[3,5,4,6],X[15,4,16,5],X[14,6,15,7],X[12,8,13,7],X[8,12,9,11]];
0.267159132	-0.483821514	0.833392309	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.340383473	0.41542301	-0.843541827	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.0473053075	0.648051674	0.760125803	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.142421133	-0.108586672	-0.983831874	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.792664531	0.0113770957	-0.609551887	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[1,5,2,4],X[5,3,6,2]];
0.643648094	0.327497533	-0.691709836	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.156389977	-0.987285163	0.0284636929	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3]];
0.775517674	-0.273203757	-0.569150282	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3],X[4,7,5,6],X[5,7,6,8]];
-0.673511055	-0.711299609	-0.20108636	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[0,12,1,13],X[4,8,5,7],X[8,6,9,5],X[6,4,7,3],X[1,11,2,10],X[9,3,10,2],X[13,11,14,12]];
-0.390150806	-0.315366871	-0.865058429	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.975919469	0.149390327	0.158945655	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[8,1,9,0],X[1,6,2,5],X[6,3,7,2],X[3,8,4,7],X[4,9,5,10]];
-0.829213439	0.300219256	-0.471458874	6_100s|6_100m	 + A^(-8) - A^(-6) - 3*A^(-4) + 5 + 3*A^(2) - 2*A^(4) - 3*A^(6) + A^(10)	PD[X[14,1,15,0],X[1,12,2,13],X[2,6,3,5],X[3,10,4,9],X[8,5,9,4],X[6,12,7,11],X[15,13,16,14],X[7,16,8,17],X[17,10,18,11]];
0.847321479	-0.0637829701	0.527236231	2_1s*2_1s|2_1m*2_1s|2_1m*2_1m|6_25s|6_25m	 + A^(-20) - 2*A^(-16) - 2*A^(-14) + A^(-12) + 2*A^(-10) + A^(-8)	PD[X[2,1,3,0],X[1,4,2,3],X[4,7,5,6],X[7,6,8,5]];
0.00357147146	-0.984607777	0.17474201	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[4,8,5,7],X[0,4,1,3],X[5,3,6,2],X[1,7,2,6]];
-0.879308229	-0.391332372	-0.271433258	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[5,1,6,0],X[1,5,2,4],X[2,8,3,7],X[6,4,7,3],X[8,10,9,11],X[11,9,12,10]];
-0.00170542051	-0.758550728	0.651611759	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.970507849	0.0533307518	-0.23509646	5_20|5_20ms	 + A^(-20) - 2*A^(-16) - A^(-14) + 2*A^(-12) + A^(-10) - A^(-8) - A^(-6) + A^(-4) + A^(-2)	PD[X[0,9,1,8],X[5,2,6,1],X[2,7,3,6],X[7,4,8,3],X[9,4,10,5]];
0.987026175	0.00595896085	0.160448809	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[0,8,1,9],X[1,5,2,4],X[5,3,6,2],X[3,7,4,6],X[9,7,10,8]];
0.849827707	0.368877627	0.376460043	2_1s*3_1m|2_1m*3_1m	 + A^(-26) - 2*A^(-22) - A^(-20) + A^(-18) + A^(-16) - A^(-14) + A^(-10) + A^(-8)	PD[X[0,11,1,10],X[2,6,3,5],X[4,8,5,7],X[6,4,7,3],X[1,9,2,8],X[11,10,12,9]];
-0.241569595	-0.95938115	-0.145711836	4_3s|4_3m	 - A^(-16) - A^(-14) + A^(-12) + A^(-10) + A^(-8)	PD[X[5,1,6,0],X[3,2,4,1],X[2,8,3,7],X[4,7,5,6]];
0.306916887	0.941339625	0.140291607	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
-0.489688445	0.614511699	0.618531001	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.48303499	-0.829718423	-0.279722249	2_1*2_1s|2_1s*2_1ms|2_1*2_1m|2_1m*2_1ms|6_19|6_19ms|6_19s|6_19m	 - A^(-6) - A^(-4) + A^(-2) + 3 + A^(2) - A^(4) - A^(6)	PD[X[2,1,3,0],X[1,4,2,3],X[4,6,5,7],X[7,5,8,6]];
-0.887127832	0.0450688065	-0.459317986	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[6,1,7,0],X[1,8,2,7],X[8,3,9,2],X[5,3,6,4],X[4,9,5,10]];
-0.719632386	-0.584313412	0.375109406	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.498351567	0.652756812	0.570573624	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,2,4,1],X[0,3,1,2]];
-0.913787866	0.0974213938	0.394335908	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.202446917	-0.312693093	0.928029243	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
0.20590573	0.559410888	-0.802908643	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.960950041	-0.108040882	0.254759075	2_1*3_1m|2_1ms*3_1m	 - A^(-12) - A^(-10) + A^(-8) + 2*A^(-6) - A^(-2) + 1 + A^(2) - A^(6)	PD[X[0,10,1,11],X[12,2,13,1],X[6,4,7,3],X[4,8,5,7],X[2,6,3,5],X[13,8,14,9],X[11,9,12,10]];
0.810005873	-0.469120807	0.351875197	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[3,1,4,0],X[2,5,3,4],X[5,2,6,1]];
-0.474055635	0.600123567	0.644300364	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,3,1,2],X[3,2,4,1]];
-0.340837913	0.857766445	-0.384793767	0_1	 + 1	PD[];
-0.170951944	0.979658481	0.105093739	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[0,4,1,3],X[1,6,2,5],X[4,3,5,2]];
0.636457876	0.759361229	0.135247539	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[0,4,1,3],X[4,2,5,1],X[2,6,3,5]];
0.383046941	0.688414719	0.615922248	2_1*4_3s|2_1ms*4_3s|2_1*4_3m|2_1ms*4_3m	 - A^(-12) - 2*A^(-10) + 3*A^(-6) + 3*A^(-4) - 1 - A^(2)	PD[X[0,6,1,5],X[1,4,2,3],X[6,5,7,4],X[7,3,8,2],X[10,8,11,9],X[9,11,10,12]];
0.172545993	0.289257079	-0.941572208	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
0.753462376	-0.581697851	-0.306467059	2_1s|2_1m	 - A^(-10) + A^(-6) + A^(-4)	PD[X[2,1,3,0],X[1,4,2,3]];
-0.936413373	-0.350766021	0.00965363812	3_1m	 - A^(-16) + A^(-12) + A^(-4)	PD[X[3,1,4,0],X[5,3,6,2],X[1,5,2,4]];
-0.857465563	-0.141147143	-0.494803286	4_4s|4_4m	 - A^(-18) - A^(-16) + A^(-14) + 2*A^(-12) - A^(-8) + A^(-4)	PD[X[14,1,15,0],X[7,11,8,12],X[10,2,11,3],X[3,7,4,6],X[12,5,13,4],X[5,14,6,13],X[9,16,10,15],X[8,2,9,1]];
